ORG_NAME,Part of OrgUnit,Standard Geographical Classification,ORG_UNIT,YEAR,Population,SOURCE,Data Source ID,ENERGY_TYPE,SUB_SECTOR,CONNECTION_TOTAL,CONSUMPTION_TOTAL,kWh,GJ,Emissions (tonnes CO2e),Emissions (tonnes CO2e) per capita,Unnamed: 13,sort_key,ORG_Block
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,BC Hydro,11080,ELEC,Res,17311,226116611,226116611,814020,2600,0.073,2022ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,BC Hydro,11080,ELEC,CSMI,2663,153644797,153644797,553121,1767,0.050,2022ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,BC Hydro,11080,ELEC,MIXED,16,5559086,5559086,20013,64,0.002,2022ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,BC Hydro,10080,ELEC,Res,17083,222384860,222384860,800585,2157,0.062,2021ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,BC Hydro,10080,ELEC,CSMI,2631,150930060,150930060,543348,1464,0.042,2021ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,BC Hydro,10080,ELEC,MIXED,16,5777187,5777187,20798,56,0.002,2021ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,BC Hydro,9080,ELEC,Res,16826,211115308,211115308,760015,1942,0.057,2020ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,BC Hydro,9080,ELEC,CSMI,2581,143881255,143881255,517973,1324,0.039,2020ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,BC Hydro,8080,ELEC,Res,16573,202715821,202715821,729777,1520,0.045,2019ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,BC Hydro,8080,ELEC,CSMI,2556,148598977,148598977,534956,1114,0.033,2019ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,BC Hydro,7080,ELEC,Res,16365,202299027,202299027,728276,1558,0.047,2018ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,BC Hydro,7080,ELEC,CSMI,2515,146668843,146668843,528008,1129,0.034,2018ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,BC Hydro,6080,ELEC,Res,16211,212852833,212852833,766270,2150,0.066,2017ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,BC Hydro,6080,ELEC,CSMI,2517,147391434,147391434,530609,1489,0.046,2017ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,BC Hydro,5080,ELEC,Res,16041,197238892,197238892,710060,2544,0.079,2016ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,BC Hydro,5080,ELEC,CSMI,2493,144972653,144972653,521902,1870,0.058,2016ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,BC Hydro,4080,ELEC,Res,15866,190843629,190843629,687037,2882,0.091,2015ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,BC Hydro,4080,ELEC,CSMI,2450,141748054,141748054,510293,2140,0.068,2015ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,BC Hydro,3080,ELEC,Res,15812,196842514,196842514,708633,4153,0.132,2014ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,BC Hydro,3080,ELEC,CSMI,2442,144054245,144054245,518595,3040,0.097,2014ELECkWh,0,1
