ORG_NAME,Part of OrgUnit,ORG_UNIT,Standard Geographical Classification,YEAR,SOURCE,SUB_SECTOR,Building Type,CONNECTION,kWh,GJ,Emissions (tonnes CO2e)
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,CONSTRUCTION,65,"502,162","1,808","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,FOOD RETAIL,90,"20,953,957","75,434","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,HEALTH SERVICES,49,"2,063,237","7,428","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,HOTELS,274,"31,177,118","112,238","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_AGRICULTURE,361,"6,226,936","22,417","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_CHEMICAL,5,"3,283,633","11,821","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,60,"3,251,300","11,705","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_MANUFACTURING,261,"13,281,073","47,812","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,218,"12,480,644","44,930","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,493,"26,829,796","96,587","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,161,"5,106,418","18,383","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,200,"10,883,758","39,182","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IND_WOOD,102,"29,950,370","107,821","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,IRRIGATION,207,"5,661,743","20,382","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,775,"27,872,069","100,339","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,NURSING HOME,7,"4,239,284","15,261","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,OFFICES,900,"28,093,949","101,138","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,395,"35,848,349","129,054","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,PUBLIC EV CHARGING,4,"102,735",370,"3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,PUBLIC HOSPITAL,0,0,0,"3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,RESTAURANT,205,"13,754,837","49,517","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,SCHOOL,69,"9,809,718","35,315","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,STREET LIGHT,242,"3,239,601","11,663","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,UNIVERSITY/COLLEGE,3,"2,116,583","7,620","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,CSMI,WAREHOUSES,247,"8,231,504","29,633","3,507"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,Res,APARTMENT,"5,254","29,012,442","104,445","4,761"
